INFO:root:first 
[2025-03-04 22:22:58,589] 10 root - INFO - Hello This is First Logging
[2025-03-04 22:25:14,922] 10 root - INFO - Hello This is First Logging
[2025-03-04 22:25:14,923] 11 root - INFO - 2nd logging
[2025-03-04 22:28:37,642] 12 root - INFO - Hello This is First Logging
[2025-03-04 22:28:37,642] 13 root - INFO - 2nd logging
[2025-03-04 22:28:44,367] 12 root - INFO - Hello This is First Logging
[2025-03-04 22:28:44,367] 13 root - INFO - 2nd logging
[2025-03-04 22:35:30,355] 15 root - INFO - Hello This is First Logging
[2025-03-04 22:35:30,355] 16 root - INFO - 2nd logging
[2025-03-04 22:36:08,642] 15 root - INFO - Hello This is First Logging
[2025-03-04 22:36:08,642] 16 root - INFO - 2nd logging
