Company,TypeName,Inches,Price,Ram(GB),Weight(kg),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,X_res,Y_res,TouchScreen,Ips_display,OS,PPI,Resolution
Apple,Ultrabook,13.3,11.175754549129524,8,1.37,Intel Core i5,Intel,128,0,2560,1600,0,1,Mac,226.98300468106115,2560x1600
Apple,Ultrabook,13.3,10.77677731765335,8,1.34,Intel Core i5,Intel,0,0,1440,900,0,0,Mac,127.67794013309688,1440x900
HP,Notebook,15.6,10.329931067029484,8,1.86,Intel Core i5,Intel,256,0,1920,1080,0,0,Other,141.21199808219862,1920x1080
Apple,Ultrabook,15.4,11.814475944954545,16,1.83,Intel Core i7,AMD,512,0,2880,1800,0,1,Mac,220.53462386625827,2880x1800
Apple,Ultrabook,13.3,11.473100972779063,8,1.37,Intel Core i5,Intel,256,0,2560,1600,0,1,Mac,226.98300468106115,2560x1600
Acer,Notebook,15.6,9.967025573340116,4,2.1,AMD,AMD,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
Apple,Ultrabook,15.4,11.64410811545818,16,2.04,Intel Core i7,Intel,0,0,2880,1800,0,1,Mac,220.53462386625827,2880x1800
Apple,Ultrabook,13.3,11.03061499223515,8,1.34,Intel Core i5,Intel,0,0,1440,900,0,0,Mac,127.67794013309688,1440x900
Asus,Ultrabook,14.0,11.28544251205692,16,1.3,Intel Core i7,Nvidia,512,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Acer,Ultrabook,14.0,10.621951541079865,8,1.6,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
HP,Notebook,15.6,9.951658096208996,4,1.86,Intel Core i5,Intel,0,500,1366,768,0,0,Other,100.45466986113652,1366x768
HP,Notebook,15.6,9.81907645733616,4,1.86,Intel Core i3,Intel,0,500,1920,1080,0,0,Other,141.21199808219862,1920x1080
Apple,Ultrabook,15.4,11.775302049361828,16,1.83,Intel Core i7,AMD,256,0,2880,1800,0,1,Mac,220.53462386625827,2880x1800
Dell,Notebook,15.6,10.187966701099125,4,2.2,Intel Core i3,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Apple,Ultrabook,12.0,11.116330976323743,8,0.92,Other Intel,Intel,256,0,2304,1440,0,1,Mac,226.4155471693585,2304x1440
Apple,Ultrabook,13.3,11.301072237406668,8,1.37,Intel Core i5,Intel,256,0,2560,1600,0,1,Mac,226.98300468106115,2560x1600
Dell,Notebook,15.6,10.588945244611692,8,2.2,Intel Core i7,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Apple,Ultrabook,15.4,11.933438384721946,16,1.83,Intel Core i7,AMD,512,0,2880,1800,0,1,Mac,220.53462386625827,2880x1800
Lenovo,Notebook,15.6,10.188167121983652,8,2.2,Intel Core i3,Nvidia,0,1000,1920,1080,0,0,Other,141.21199808219862,1920x1080
Dell,Ultrabook,13.3,10.862092668762644,8,1.22,Intel Core i5,Intel,128,0,1920,1080,1,1,Windows,165.6321180513006,1920x1080
Asus,Netbook,11.6,9.232535429245788,2,0.98,Other Intel,Intel,0,0,1366,768,0,0,Windows,135.0942111925629,1366x768
Lenovo,Gaming,15.6,10.882315804880689,8,2.5,Intel Core i5,Nvidia,128,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,9.528520611153752,4,1.86,AMD,AMD,0,500,1366,768,0,0,Other,100.45466986113652,1366x768
Dell,2 in 1 Convertible,13.3,10.683645110085203,8,1.62,Intel Core i5,Intel,256,0,1920,1080,1,0,Windows,165.6321180513006,1920x1080
HP,Ultrabook,15.6,10.46628456073464,8,1.91,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.012572388296086,4,2.3,Intel Core i3,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Apple,Ultrabook,13.3,10.977716980635757,8,1.35,Intel Core i5,Intel,0,0,1440,900,0,0,Mac,127.67794013309688,1440x900
Dell,Notebook,15.6,10.660172753900062,8,2.2,Intel Core i5,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Ultrabook,15.6,11.144140923496169,8,1.88,Intel Core i7,Intel,512,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,17.3,10.773501439207063,8,2.5,Intel Core i5,Nvidia,0,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Chuwi,Notebook,15.6,9.476778419617322,4,1.89,Other Intel,Intel,0,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,14.0,9.268865850956626,2,1.65,AMD,AMD,0,0,1366,768,0,0,Windows,111.93520355955212,1366x768
HP,Notebook,17.3,10.060060439307303,4,2.71,AMD,AMD,0,500,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Ultrabook,13.3,11.508719833687696,16,1.2,Intel Core i7,Intel,512,0,3200,1800,1,0,Windows,276.053530085501,3200x1800
Apple,Ultrabook,13.3,10.881314302543595,8,1.35,Intel Core i5,Intel,0,0,1440,900,0,0,Mac,127.67794013309688,1440x900
Lenovo,Notebook,14.0,9.49301392269684,4,1.44,Intel Celeron,Intel,0,0,1366,768,0,0,Windows,111.93520355955212,1366x768
Acer,Notebook,15.6,9.880922874286703,4,2.1,Intel Core i3,Intel,0,1000,1366,768,0,0,Linux,100.45466986113652,1366x768
Dell,Notebook,17.3,10.862092668762644,8,2.8,Intel Core i5,AMD,128,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
HP,Notebook,15.6,10.167289367847482,4,1.86,Intel Core i5,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,15.6,10.754345923917311,8,2.1,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,15.6,9.93914036985058,4,2.0,Intel Core i3,Intel,0,1000,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Dell,Gaming,15.6,11.288114524334732,16,2.65,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Asus,Notebook,15.6,10.235123369655367,8,2.3,Intel Core i5,Nvidia,0,1000,1366,768,0,0,Linux,100.45466986113652,1366x768
Acer,Notebook,15.6,10.500590684075595,4,2.2,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Dell,2 in 1 Convertible,17.3,10.882315804880689,12,2.77,Intel Core i5,Nvidia,0,1000,1920,1080,1,0,Windows,127.33567457123112,1920x1080
Apple,Ultrabook,13.3,11.233268703392175,8,1.37,Intel Core i5,Intel,256,0,2560,1600,0,1,Mac,226.98300468106115,2560x1600
Lenovo,Notebook,15.6,9.88635767027266,4,2.2,Intel Core i3,Intel,128,0,1366,768,0,0,Other,100.45466986113652,1366x768
Asus,Gaming,17.3,11.144911042902732,8,3.2,AMD,AMD,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Notebook,15.6,10.435465480609668,4,2.3,Intel Core i5,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,17.3,10.11974666035778,4,2.8,Other Intel,Nvidia,0,1000,1366,768,0,0,Windows,90.58340172449304,1366x768
Lenovo,2 in 1 Convertible,10.1,9.74075212901698,4,0.69,Other Intel,Intel,0,0,1920,1200,1,1,Other,224.1738090785728,1920x1200
Acer,Notebook,15.6,10.71015268620508,8,2.2,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
