Company,TypeName,Inches,Price,Ram(GB),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,TouchScreen,Ips_display,OS,PPI
Lenovo,Notebook,15.6,10.421280845617712,4,Intel Core i3,Intel,128,0,0,0,Windows,141.21199808219862
Dell,Notebook,15.6,10.37232400089118,8,Intel Core i7,AMD,0,1000,0,0,Linux,141.21199808219862
Asus,Notebook,15.6,11.144911042902732,8,Intel Core i7,Nvidia,256,1000,0,1,Windows,282.42399616439724
Lenovo,Ultrabook,15.6,10.698190821087582,6,Intel Core i7,Nvidia,256,0,0,0,Windows,141.21199808219862
Toshiba,Notebook,14.0,10.90311893251045,4,Intel Core i5,Intel,128,0,0,1,Windows,111.93520355955212
Lenovo,2 in 1 Convertible,14.0,10.419692282932576,4,Intel Core i3,Intel,256,0,1,1,Windows,157.3505121487356
Lenovo,Notebook,15.6,10.895234994607796,8,Intel Core i5,Nvidia,256,0,0,1,Windows,141.21199808219862
Dell,Notebook,15.6,11.049906436113686,16,Intel Core i7,AMD,256,0,0,0,Windows,141.21199808219862
Lenovo,Gaming,15.6,10.695781181367428,8,Intel Core i5,Nvidia,256,0,0,1,Windows,141.21199808219862
HP,Ultrabook,14.0,11.509254736080766,8,Intel Core i7,Intel,512,0,0,0,Windows,157.3505121487356
Dell,Gaming,15.6,11.274682488942933,16,Intel Core i7,Nvidia,256,1000,0,0,Windows,141.21199808219862
Lenovo,Gaming,15.6,10.671359943290623,8,Intel Core i5,Nvidia,128,1000,0,1,Other,141.21199808219862
Dell,2 in 1 Convertible,13.3,10.742915658911176,8,Intel Core i7,Intel,256,0,1,0,Windows,165.6321180513006
Lenovo,Notebook,15.6,9.771618776997505,8,Intel Celeron,Intel,0,1000,0,0,Other,100.45466986113652
Apple,Ultrabook,13.3,11.555699396421488,8,Intel Core i5,Intel,512,0,0,1,Mac,226.98300468106115
Dell,Notebook,15.6,10.928710232504155,8,Intel Core i5,Intel,0,500,0,0,Windows,141.21199808219862
Lenovo,Notebook,15.6,10.082583913974387,4,Intel Core i3,Intel,0,1000,0,0,Windows,141.21199808219862
Razer,Gaming,14.0,11.947682155153789,16,Intel Core i7,Nvidia,512,0,0,0,Windows,157.3505121487356
HP,Notebook,15.6,10.862092668762644,4,Intel Core i5,Intel,256,0,0,0,Windows,100.45466986113652
Mediacom,Notebook,14.0,9.452024578163645,2,Other Intel,Intel,0,0,0,0,Windows,157.3505121487356
Dell,Notebook,15.6,11.313402478637911,16,Intel Core i7,Nvidia,256,0,0,0,Windows,141.21199808219862
HP,Notebook,15.6,10.450993742936223,6,AMD,AMD,256,0,0,1,Windows,141.21199808219862
Lenovo,2 in 1 Convertible,13.3,11.484896292248726,8,Intel Core i5,Intel,512,0,1,1,Windows,165.6321180513006
Lenovo,Notebook,15.6,10.676292135779944,8,Intel Core i5,AMD,128,1000,0,0,Windows,141.21199808219862
Asus,Gaming,15.6,11.383485348791732,8,Intel Core i5,Nvidia,128,1000,0,1,Windows,141.21199808219862
Dell,Notebook,15.6,10.690944412566814,4,Intel Core i5,Intel,0,500,0,0,Windows,100.45466986113652
Dell,Gaming,15.6,11.064804181259648,8,Intel Core i7,Nvidia,0,1000,0,0,Windows,141.21199808219862
Asus,Gaming,17.3,11.737731633370338,16,Intel Core i7,Nvidia,256,1000,0,1,Windows,127.33567457123112
Lenovo,Notebook,14.0,10.952842367862882,8,Intel Core i5,Intel,256,0,0,1,Windows,157.3505121487356
Asus,Gaming,15.6,11.254189968552817,16,Intel Core i7,Nvidia,128,1000,0,1,Windows,141.21199808219862
Lenovo,Notebook,15.6,9.83063294843456,4,AMD,AMD,128,0,0,0,Windows,100.45466986113652
HP,Notebook,14.0,9.6067728080535,2,Intel Celeron,Intel,0,0,0,0,Windows,111.93520355955212
Asus,Notebook,15.6,10.301710499387234,4,Intel Core i5,Intel,256,0,0,0,Linux,141.21199808219862
HP,Notebook,14.0,10.913835810881007,4,Intel Core i5,Intel,0,500,0,0,Windows,157.3505121487356
Lenovo,Notebook,15.6,10.368432457987426,6,AMD,AMD,256,0,0,0,Windows,141.21199808219862
Dell,Notebook,15.6,10.395555954379276,4,Intel Core i3,AMD,0,1000,0,0,Windows,100.45466986113652
Acer,Notebook,15.6,9.268865850956626,2,Intel Celeron,Intel,16,0,0,0,Other,100.45466986113652
Acer,Notebook,15.6,10.46628456073464,12,Intel Core i7,Intel,0,1000,1,1,Windows,141.21199808219862
HP,Notebook,15.6,10.336863503805128,8,Intel Core i5,Intel,256,0,0,0,Windows,100.45466986113652
Dell,Notebook,15.6,10.298790318518323,8,Intel Core i5,Intel,0,2000,1,0,Windows,100.45466986113652
Asus,2 in 1 Convertible,13.3,11.288114524334732,8,Intel Core i7,Intel,1024,0,1,0,Windows,165.6321180513006
Asus,Notebook,15.6,10.003839546462832,4,Intel Core i3,Intel,256,0,0,0,Linux,141.21199808219862
Dell,2 in 1 Convertible,15.6,11.134075023561454,16,Intel Core i7,Intel,512,0,1,0,Windows,141.21199808219862
HP,Ultrabook,12.5,11.172247597066484,8,Intel Core i7,Intel,256,0,0,0,Windows,176.23257360658386
Dell,Notebook,15.6,10.09739572450197,4,Intel Core i3,AMD,0,1000,0,0,Linux,100.45466986113652
Toshiba,Notebook,14.0,10.794485091507656,4,Intel Core i5,Intel,0,500,0,0,Windows,111.93520355955212
HP,Notebook,15.6,10.435465480609668,8,Intel Core i5,Intel,0,1000,0,0,Windows,141.21199808219862
Asus,Gaming,17.3,10.921575017331362,8,Intel Core i7,Nvidia,0,1000,0,0,Windows,127.33567457123112
Asus,Gaming,17.3,11.291444530741918,16,Intel Core i7,Nvidia,256,1000,0,0,Windows,127.33567457123112
Asus,2 in 1 Convertible,13.3,10.435481129939486,6,Intel Core i5,Intel,0,1000,1,0,Windows,165.6321180513006
Dell,2 in 1 Convertible,13.3,10.450993742936223,4,Intel Core i3,Intel,0,1000,1,0,Windows,165.6321180513006
HP,Notebook,15.6,10.319265697988737,6,AMD,AMD,128,0,0,1,Windows,141.21199808219862
Dell,Gaming,17.3,11.801613023751164,16,Intel Core i7,Nvidia,128,1000,0,1,Windows,127.33567457123112
Lenovo,2 in 1 Convertible,13.3,11.470547260182666,16,Intel Core i7,Intel,1000,0,1,1,Windows,276.053530085501
Acer,2 in 1 Convertible,13.3,10.64634002126892,8,Intel Core i7,Intel,256,0,1,1,Windows,165.6321180513006
Lenovo,Notebook,14.0,9.67600459962282,4,Intel Celeron,Intel,0,500,0,0,Windows,111.93520355955212
Lenovo,Notebook,15.6,9.964522443121997,4,AMD,AMD,128,0,0,0,Windows,141.21199808219862
HP,Notebook,17.3,10.808592759018332,8,Intel Core i5,Intel,256,0,0,0,Windows,127.33567457123112
Lenovo,2 in 1 Convertible,14.0,11.834974180925718,8,Intel Core i7,Intel,256,0,1,0,Windows,209.8006828649808
Dell,Ultrabook,14.0,10.977716980635757,8,Intel Core i7,Intel,256,0,0,0,Linux,157.3505121487356
HP,Notebook,13.3,10.969494001455322,8,Intel Core i7,Intel,256,0,0,0,Windows,165.6321180513006
Lenovo,Notebook,15.6,11.18267988243989,8,Intel Core i5,Intel,256,0,0,0,Windows,141.21199808219862
Dell,Notebook,17.3,11.016097416448089,8,Intel Core i7,AMD,128,1000,0,0,Windows,127.33567457123112
Acer,Notebook,14.0,9.77465368069266,2,Intel Celeron,Intel,0,0,0,0,Other,111.93520355955212
Acer,Notebook,14.0,9.83063294843456,4,Other Intel,Intel,0,0,0,0,Windows,111.93520355955212
HP,Netbook,12.5,11.529371878240363,8,Other Intel,Intel,512,0,0,0,Windows,176.23257360658386
Lenovo,Notebook,14.0,11.265171547683302,8,Intel Core i5,Intel,256,0,0,0,Windows,157.3505121487356
Lenovo,Notebook,15.6,10.188167121983652,4,Intel Core i5,Nvidia,0,1000,0,0,Other,141.21199808219862
HP,Notebook,17.3,10.167923515707006,8,Intel Core i3,Intel,0,1000,0,0,Windows,106.11306214269258
HP,Notebook,15.6,10.584910269399517,4,Intel Core i5,Intel,0,500,0,0,Windows,100.45466986113652
Acer,Gaming,17.3,11.543423631696015,16,Intel Core i7,Nvidia,128,1000,0,1,Windows,127.33567457123112
Lenovo,Notebook,14.0,10.99308509015976,8,Intel Core i5,AMD,256,0,0,1,Windows,157.3505121487356
Google,Ultrabook,12.3,11.32736089528991,8,Intel Core i5,Intel,256,0,1,0,Other,234.50740003017813
Dell,Notebook,15.6,11.203223524960787,8,Intel Core i5,Intel,256,0,0,0,Windows,141.21199808219862
Acer,2 in 1 Convertible,11.6,9.83063294843456,4,Intel Celeron,Intel,0,0,1,1,Windows,189.90579052433608
HP,Notebook,13.3,10.525211768465944,4,Intel Core i5,Intel,256,0,0,1,Windows,165.6321180513006
HP,Notebook,15.6,10.977716980635757,8,Intel Core i5,Nvidia,128,1000,0,1,Windows,141.21199808219862
Lenovo,2 in 1 Convertible,11.3,11.144911042902732,8,Other Intel,Intel,256,0,1,1,Windows,194.94753717542463
Dell,Gaming,17.3,11.781988742399806,16,Intel Core i7,Nvidia,256,1000,0,1,Windows,127.33567457123112
Asus,Ultrabook,14.0,11.510857728676225,8,Intel Core i7,Intel,512,0,0,0,Windows,157.3505121487356
Toshiba,Notebook,15.6,10.675061366393813,8,Intel Core i7,Nvidia,0,500,0,0,Windows,100.45466986113652
HP,Notebook,15.6,10.780175546294757,8,Intel Core i7,Intel,0,1000,0,1,Windows,100.45466986113652
Toshiba,Notebook,13.3,11.061462490597744,4,Intel Core i5,Intel,128,0,0,0,Windows,165.6321180513006
Dell,Notebook,15.6,10.349904182775484,4,Intel Core i3,Intel,0,1000,0,0,Windows,100.45466986113652
Toshiba,Notebook,13.3,11.39733681987678,8,Intel Core i5,Intel,256,0,0,1,Windows,165.6321180513006
Lenovo,Notebook,11.6,9.694067896286716,2,Intel Celeron,Intel,0,0,0,0,Windows,135.0942111925629
Dell,Ultrabook,12.5,11.408044834149251,8,Intel Core i7,Intel,256,0,0,0,Windows,176.23257360658386
HP,Notebook,15.6,10.452533389121816,6,AMD,AMD,128,1000,0,0,Windows,141.21199808219862
Dell,Ultrabook,13.3,11.508719833687696,8,Intel Core i5,Intel,256,0,1,0,Windows,276.053530085501
Dell,Notebook,15.6,11.590080353983309,16,Intel Core i7,Nvidia,512,0,1,0,Windows,282.42399616439724
HP,Notebook,15.6,10.419692282932576,8,AMD,AMD,0,2000,0,0,Windows,100.45466986113652
Samsung,Ultrabook,13.3,11.383485348791732,16,Intel Core i7,Intel,256,0,0,0,Windows,165.6321180513006
Dell,Notebook,15.6,10.580858947180335,4,Intel Core i7,AMD,256,0,0,0,Windows,141.21199808219862
Dell,Notebook,15.6,10.993953872709785,8,Intel Core i5,Intel,256,0,0,0,Windows,141.21199808219862
Asus,Gaming,15.6,11.039464987704202,8,Intel Core i7,Nvidia,0,1000,0,1,Other,141.21199808219862
Dell,Notebook,15.6,10.34717287346399,4,Intel Core i5,AMD,0,500,0,0,Windows,141.21199808219862
Acer,Notebook,15.6,10.030000372501505,4,AMD,AMD,128,0,0,0,Windows,100.45466986113652
Dell,Notebook,14.0,10.576614498925236,4,Intel Core i3,Intel,128,0,0,0,Windows,157.3505121487356
HP,Notebook,15.6,9.82197089913809,4,Intel Core i3,Intel,0,1000,0,0,Other,100.45466986113652
