Company,TypeName,Inches,Price,Ram(GB),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,TouchScreen,Ips_display,OS,PPI
Apple,Ultrabook,13.3,11.175754549129524,8,Intel Core i5,Intel,128,0,0,1,Mac,226.98300468106115
Apple,Ultrabook,13.3,10.77677731765335,8,Intel Core i5,Intel,0,0,0,0,Mac,127.67794013309688
HP,Notebook,15.6,10.329931067029484,8,Intel Core i5,Intel,256,0,0,0,Other,141.21199808219862
Apple,Ultrabook,15.4,11.814475944954545,16,Intel Core i7,AMD,512,0,0,1,Mac,220.53462386625827
Apple,Ultrabook,13.3,11.473100972779063,8,Intel Core i5,Intel,256,0,0,1,Mac,226.98300468106115
Acer,Notebook,15.6,9.967025573340116,4,AMD,AMD,0,500,0,0,Windows,100.45466986113651
Apple,Ultrabook,15.4,11.64410811545818,16,Intel Core i7,Intel,0,0,0,1,Mac,220.53462386625827
Apple,Ultrabook,13.3,11.03061499223515,8,Intel Core i5,Intel,0,0,0,0,Mac,127.67794013309688
Asus,Ultrabook,14.0,11.285442512056921,16,Intel Core i7,Nvidia,512,0,0,0,Windows,157.3505121487356
Acer,Ultrabook,14.0,10.621951541079863,8,Intel Core i5,Intel,256,0,0,1,Windows,157.3505121487356
HP,Notebook,15.6,9.951658096208995,4,Intel Core i5,Intel,0,500,0,0,Other,100.45466986113651
HP,Notebook,15.6,9.819076457336159,4,Intel Core i3,Intel,0,500,0,0,Other,141.21199808219862
Apple,Ultrabook,15.4,11.775302049361828,16,Intel Core i7,AMD,256,0,0,1,Mac,220.53462386625827
Dell,Notebook,15.6,10.187966701099125,4,Intel Core i3,AMD,256,0,0,0,Windows,141.21199808219862
Apple,Ultrabook,12.0,11.116330976323743,8,Other Intel,Intel,256,0,0,1,Mac,226.41554716935852
Apple,Ultrabook,13.3,11.301072237406668,8,Intel Core i5,Intel,256,0,0,1,Mac,226.98300468106115
Dell,Notebook,15.6,10.588945244611693,8,Intel Core i7,AMD,256,0,0,0,Windows,141.21199808219862
Apple,Ultrabook,15.4,11.933438384721946,16,Intel Core i7,AMD,512,0,0,1,Mac,220.53462386625827
Lenovo,Notebook,15.6,10.188167121983652,8,Intel Core i3,Nvidia,0,1000,0,0,Other,141.21199808219862
Dell,Ultrabook,13.3,10.862092668762644,8,Intel Core i5,Intel,128,0,1,1,Windows,165.6321180513006
Asus,Netbook,11.6,9.232535429245788,2,Other Intel,Intel,0,0,0,0,Windows,135.0942111925629
Lenovo,Gaming,15.6,10.882315804880687,8,Intel Core i5,Nvidia,128,1000,0,1,Windows,141.21199808219862
HP,Notebook,15.6,9.528520611153752,4,AMD,AMD,0,500,0,0,Other,100.45466986113651
Dell,2 in 1 Convertible,13.3,10.683645110085203,8,Intel Core i5,Intel,256,0,1,0,Windows,165.6321180513006
HP,Ultrabook,15.6,10.46628456073464,8,Intel Core i7,Intel,256,0,0,0,Windows,141.21199808219862
Dell,Notebook,15.6,10.012572388296086,4,Intel Core i3,Intel,0,1000,0,0,Windows,100.45466986113651
Apple,Ultrabook,13.3,10.977716980635755,8,Intel Core i5,Intel,0,0,0,0,Mac,127.67794013309688
Dell,Notebook,15.6,10.660172753900062,8,Intel Core i5,AMD,256,0,0,0,Windows,141.21199808219862
Dell,Ultrabook,15.6,11.144140923496169,8,Intel Core i7,Intel,512,0,0,0,Windows,141.21199808219862
HP,Notebook,17.3,10.773501439207065,8,Intel Core i5,Nvidia,0,1000,0,0,Windows,127.33567457123111
Chuwi,Notebook,15.6,9.476778419617322,4,Other Intel,Intel,0,0,0,0,Windows,141.21199808219862
Asus,Notebook,14.0,9.268865850956626,2,AMD,AMD,0,0,0,0,Windows,111.93520355955211
HP,Notebook,17.3,10.060060439307305,4,AMD,AMD,0,500,0,0,Windows,127.33567457123111
Dell,Ultrabook,13.3,11.508719833687696,16,Intel Core i7,Intel,512,0,1,0,Windows,276.053530085501
Apple,Ultrabook,13.3,10.881314302543597,8,Intel Core i5,Intel,0,0,0,0,Mac,127.67794013309688
Lenovo,Notebook,14.0,9.493013922696841,4,Intel Celeron,Intel,0,0,0,0,Windows,111.93520355955211
Acer,Notebook,15.6,9.880922874286703,4,Intel Core i3,Intel,0,1000,0,0,Linux,100.45466986113651
Dell,Notebook,17.3,10.862092668762644,8,Intel Core i5,AMD,128,1000,0,1,Windows,127.33567457123111
HP,Notebook,15.6,10.167289367847482,4,Intel Core i5,Intel,0,1000,0,0,Windows,100.45466986113651
HP,Notebook,15.6,10.754345923917311,8,Intel Core i5,Nvidia,256,0,0,0,Windows,141.21199808219862
Asus,Notebook,15.6,9.93914036985058,4,Intel Core i3,Intel,0,1000,0,0,Linux,141.21199808219862
Dell,Gaming,15.6,11.288114524334732,16,Intel Core i7,Nvidia,256,1000,0,1,Windows,141.21199808219862
Asus,Notebook,15.6,10.235123369655367,8,Intel Core i5,Nvidia,0,1000,0,0,Linux,100.45466986113651
Acer,Notebook,15.6,10.500590684075595,4,Intel Core i5,Intel,256,0,0,1,Windows,141.21199808219862
Dell,2 in 1 Convertible,17.3,10.882315804880687,12,Intel Core i5,Nvidia,0,1000,1,0,Windows,127.33567457123111
Apple,Ultrabook,13.3,11.233268703392175,8,Intel Core i5,Intel,256,0,0,1,Mac,226.98300468106115
Lenovo,Notebook,15.6,9.88635767027266,4,Intel Core i3,Intel,128,0,0,0,Other,100.45466986113651
Asus,Gaming,17.3,11.144911042902732,8,AMD,AMD,256,1000,0,0,Windows,127.33567457123111
Dell,Notebook,15.6,10.435465480609668,4,Intel Core i5,AMD,256,0,0,0,Windows,141.21199808219862
Asus,Notebook,17.3,10.11974666035778,4,Other Intel,Nvidia,0,1000,0,0,Windows,90.58340172449303
Lenovo,2 in 1 Convertible,10.1,9.740752129016979,4,Other Intel,Intel,0,0,1,1,Other,224.17380907857276
Acer,Notebook,15.6,10.710152686205081,8,Intel Core i7,Nvidia,256,0,0,1,Windows,141.21199808219862
HP,Notebook,15.6,9.963243430044656,4,AMD,AMD,256,0,0,0,Windows,141.21199808219862
HP,Notebook,13.3,10.981350045485636,8,Intel Core i7,Intel,512,0,0,0,Windows,165.6321180513006
Acer,Notebook,15.6,9.92620357881986,4,Intel Core i3,Intel,0,1000,0,0,Windows,100.45466986113651
Dell,Notebook,15.6,10.619090308798832,8,Intel Core i7,AMD,256,0,0,0,Windows,141.21199808219862
HP,Notebook,15.6,10.060060439307305,4,Intel Core i3,Intel,128,0,0,0,Windows,141.21199808219862
Asus,Notebook,15.6,10.349204995339194,4,Intel Core i5,Intel,256,0,0,0,Windows,100.45466986113651
MSI,Gaming,17.3,11.778996083184301,16,Intel Core i7,Nvidia,256,2000,0,0,Windows,127.33567457123111
Asus,Notebook,15.6,10.003839546462832,4,Intel Core i3,Intel,256,0,0,0,Linux,141.21199808219862
Dell,Notebook,17.3,11.144911042902732,16,Intel Core i7,AMD,256,2000,0,0,Windows,127.33567457123111
Dell,Ultrabook,14.0,10.754345923917311,8,Intel Core i5,Intel,256,0,0,0,Windows,157.3505121487356
Lenovo,Notebook,14.0,10.370822624347584,8,Intel Core i3,Intel,256,0,0,1,Other,157.3505121487356
Asus,Notebook,14.0,10.822504165817513,8,Intel Core i5,Intel,256,0,0,0,Windows,157.3505121487356
HP,Notebook,15.6,10.51225262382344,8,Intel Core i5,Intel,256,0,0,0,Windows,141.21199808219862
Asus,Ultrabook,15.6,11.56792715475193,16,Intel Core i7,Nvidia,512,0,0,0,Windows,141.21199808219862
HP,Notebook,15.6,10.059354039524031,4,Intel Core i3,AMD,0,500,0,0,Windows,100.45466986113651
HP,Notebook,14.0,9.409283029786373,4,Intel Celeron,Intel,32,0,0,0,Windows,111.93520355955211
Lenovo,Notebook,15.6,10.283659467741664,4,Intel Core i5,Intel,0,1000,0,0,Windows,141.21199808219862
Asus,Gaming,17.3,10.830969824842061,12,Intel Core i7,Nvidia,0,1000,0,0,Linux,127.33567457123111
Microsoft,Ultrabook,13.5,10.968576149165093,4,Intel Core i5,Intel,128,0,1,0,Windows,200.84255993695703
Dell,Ultrabook,13.3,10.837272366712863,8,Intel Core i7,AMD,256,0,0,1,Windows,165.6321180513006
Dell,Notebook,15.6,10.744054237880762,8,Intel Core i7,AMD,256,0,0,0,Windows,141.21199808219862
MSI,Gaming,17.3,10.974070668482735,8,Intel Core i5,Nvidia,128,1000,0,0,Windows,127.33567457123111
Acer,Notebook,14.0,9.93914036985058,8,Intel Core i3,Intel,0,1000,0,0,Windows,111.93520355955211
Asus,Gaming,15.6,10.830969824842061,8,Intel Core i7,Nvidia,0,1000,0,0,Windows,141.21199808219862
Lenovo,Notebook,15.6,10.227464909398023,8,Intel Core i5,Intel,0,2000,0,0,Other,141.21199808219862
Dell,Notebook,15.6,10.726662495168894,8,Intel Core i7,Intel,128,1000,0,0,Windows,141.21199808219862
Acer,Notebook,15.6,10.248438032778301,4,Intel Core i3,Nvidia,0,1000,0,0,Windows,141.21199808219862
HP,Notebook,17.3,10.860047678274917,8,Intel Core i5,Nvidia,128,1000,0,0,Windows,127.33567457123111
Dell,Ultrabook,15.6,10.975129468486722,8,Intel Core i5,Intel,256,0,0,1,Windows,141.21199808219862
Apple,Ultrabook,12.0,11.295425956041104,8,Intel Core i5,Intel,512,0,0,1,Mac,226.41554716935852
HP,Notebook,14.0,10.732493415479688,8,Intel Core i5,Intel,256,0,0,0,Windows,157.3505121487356
Lenovo,Notebook,15.6,9.964522443121997,4,AMD,AMD,128,0,0,0,Windows,141.21199808219862
Acer,Notebook,15.6,9.954446791133256,4,AMD,AMD,0,1000,0,0,Windows,100.45466986113651
Dell,Gaming,15.6,11.18267988243989,16,Intel Core i7,Nvidia,128,1000,0,1,Windows,141.21199808219862
HP,Ultrabook,15.6,10.525211768465944,8,Intel Core i7,Nvidia,256,0,0,1,Windows,141.21199808219862
HP,Notebook,15.6,10.370805929717411,8,Intel Core i5,Intel,256,0,0,0,Windows,141.21199808219862
Asus,Gaming,15.6,11.254189968552817,16,Intel Core i7,Nvidia,128,1000,0,1,Windows,141.21199808219862
Dell,Ultrabook,13.3,11.383485348791732,8,Intel Core i7,Intel,256,0,0,1,Windows,165.6321180513006
Asus,Gaming,15.6,10.525211768465944,8,AMD,AMD,0,1000,0,0,Windows,141.21199808219862
Acer,Notebook,15.6,10.510802297245792,8,Intel Core i7,Nvidia,0,1000,0,0,Windows,141.21199808219862
HP,Notebook,13.3,11.063134731790107,16,Intel Core i7,Intel,512,0,0,0,Windows,165.6321180513006
Dell,Gaming,15.6,11.061462490597744,8,Intel Core i5,Nvidia,256,0,0,0,Windows,141.21199808219862
Asus,Ultrabook,14.0,10.931153634628432,8,Intel Core i7,Intel,256,0,0,0,Windows,157.3505121487356
Acer,2 in 1 Convertible,13.3,10.717261720884188,8,Intel Core i5,Intel,256,0,1,1,Windows,165.6321180513006
Dell,Notebook,15.6,10.372324000891181,8,Intel Core i7,AMD,0,1000,0,0,Linux,141.21199808219862
Dell,Notebook,15.6,10.159709917169616,4,Intel Core i3,AMD,256,0,0,0,Linux,141.21199808219862
Asus,Notebook,15.6,10.333403292740233,6,Intel Core i3,Nvidia,256,0,0,0,Windows,141.21199808219862
HP,Gaming,15.6,11.105659536357711,12,Intel Core i7,Nvidia,128,1000,0,1,Windows,141.21199808219862
HP,Notebook,15.6,10.55342238395318,8,Intel Core i7,AMD,256,0,0,0,Windows,141.21199808219862
HP,Notebook,15.6,9.83063294843456,4,AMD,AMD,0,500,0,0,Windows,141.21199808219862
Dell,Notebook,15.6,10.447907320733034,8,Intel Core i5,AMD,0,1000,0,0,Linux,141.21199808219862
HP,Ultrabook,13.3,10.99575173454406,8,Intel Core i7,Nvidia,256,0,0,1,Windows,165.6321180513006
Microsoft,Ultrabook,13.5,11.17598591917709,8,Intel Core i5,Intel,256,0,1,0,Windows,200.84255993695703
HP,Notebook,14.0,10.46628456073464,6,Intel Core i5,Nvidia,256,0,0,1,Windows,157.3505121487356
Lenovo,Notebook,15.6,10.003598553570956,4,Intel Core i3,Intel,0,1000,0,0,Windows,141.21199808219862
Asus,Ultrabook,14.0,11.05978744833005,8,Intel Core i7,Nvidia,256,0,0,1,Windows,157.3505121487356
MSI,Gaming,15.6,11.144911042902732,16,Intel Core i7,Nvidia,256,1000,0,0,Windows,141.21199808219862
Lenovo,Notebook,14.0,11.275358392990295,8,Intel Core i7,Intel,256,0,0,1,Windows,157.3505121487356
Asus,Ultrabook,15.6,11.116014069333293,16,Intel Core i7,Nvidia,256,1000,0,0,Windows,141.21199808219862
Dell,Ultrabook,13.3,11.204674904025435,8,Intel Core i7,Intel,256,0,1,0,Windows,276.053530085501
Lenovo,2 in 1 Convertible,13.3,11.219074000897615,8,Intel Core i5,Intel,256,0,1,1,Windows,165.6321180513006
HP,Notebook,14.0,10.55758616512496,4,Intel Core i5,Intel,0,500,0,1,Windows,111.93520355955211
Dell,Ultrabook,13.3,11.371282634834179,8,Intel Core i5,Intel,256,0,0,1,Windows,165.6321180513006
HP,2 in 1 Convertible,13.3,11.219066852909238,8,Intel Core i5,Intel,256,0,1,1,Windows,165.6321180513006
HP,Notebook,14.0,10.963974208231726,8,Intel Core i7,Intel,512,0,0,0,Windows,157.3505121487356
Dell,Notebook,15.6,11.005825930702713,8,Intel Core i7,Nvidia,256,1000,0,1,Windows,141.21199808219862
Asus,Notebook,17.3,10.310615277730193,4,Intel Core i3,Nvidia,0,1000,0,0,Windows,127.33567457123111
Asus,Notebook,15.6,10.994857679947177,8,Intel Core i7,Nvidia,256,0,0,0,Windows,141.21199808219862
Acer,Notebook,15.6,10.147261623643049,6,Intel Core i3,Intel,0,1000,1,1,Windows,141.21199808219862
MSI,Gaming,15.6,11.690461589827628,16,Intel Core i7,Nvidia,256,2000,0,0,Windows,141.21199808219862
Lenovo,Notebook,15.6,10.419692282932575,8,Intel Core i5,Nvidia,256,0,0,0,Other,141.21199808219862
HP,Notebook,17.3,11.123120297421588,16,Intel Core i7,Nvidia,512,0,0,0,Windows,127.33567457123111
Acer,Notebook,15.6,10.087028365734811,4,AMD,AMD,256,0,0,0,Windows,100.45466986113651
HP,Notebook,15.6,9.532389087931671,4,Intel Celeron,Intel,0,500,0,0,Other,100.45466986113651
HP,Notebook,14.0,10.675061366393813,8,Intel Core i5,Intel,0,1000,0,0,Windows,157.3505121487356
Asus,Notebook,14.0,9.603146168052769,4,AMD,AMD,64,0,0,0,Windows,111.93520355955211
Dell,Notebook,17.3,11.216927309554451,16,Intel Core i7,AMD,256,2000,0,0,Windows,127.33567457123111
HP,Notebook,17.3,10.808592759018333,8,Intel Core i5,Intel,256,0,0,0,Windows,127.33567457123111
Dell,Notebook,15.6,10.435449831034946,8,Intel Core i5,AMD,0,1000,0,0,Windows,100.45466986113651
